,Roof_T,Roof_C1,geometry
0,Gable,Good,"POLYGON ((-10834917.921 3846233.887000002, -10834904.1627 3846234.019300006, -10834904.2068 3846226.875500001, -10834902.68967896 3846226.77669438, -10834902.5836 3846218.275532275, -10834917.98294161 3846218.15906518, -10834917.95144161 3846223.271665186, -10834920.5669 3846226.91960001, -10834917.7887 3846229.433200002, -10834917.921 3846233.887000002))"
1,Mix,Good,"POLYGON ((-10834844.8473 3846502.442400008, -10834841.884 3846504.241599999, -10834846.7524 3846511.649899997, -10834835.29803509 3846517.181951225, -10834831.10003508 3846509.420851231, -10834825.0212 3846512.531900004, -10834821.317 3846505.476300001, -10834841.1079 3846495.351599999, -10834844.8473 3846502.442400008))"
2,Gable,Good,"POLYGON ((-10834617.17254094 3846911.695702523, -10834617.00870388 3846919.227026343, -10834612.54270296 3846918.993727788, -10834611.33602587 3846918.930692427, -10834612.34988705 3846920.774446867, -10834609.89891177 3846921.528974123, -10834606.7123 3846921.450199999, -10834606.779 3846909.550700009, -10834611.5856 3846909.440400004, -10834611.5856 3846910.520800009, -10834615.06136665 3846910.506342232, -10834615.74718576 3846910.892708257, -10834617.17254094 3846911.695702523))"
3,Gable,Good,"POLYGON ((-10834863.422 3846169.272, -10834848.5171 3846172.402900003, -10834847.2823 3846166.670299999, -10834844.1514 3846164.729999997, -10834845.9594 3846161.863700002, -10834845.3862 3846157.321699999, -10834858.8799 3846154.763999999, -10834860.0706 3846160.937600002, -10834861.5258 3846161.025799997, -10834863.422 3846169.272))"
4,Flat,Good,"POLYGON ((-10834869.107 3846218.079800002, -10834869.4598 3846222.560099997, -10834867.2725 3846222.736500002, -10834867.2408 3846226.6065, -10834867.4701 3846229.1994, -10834851.1473 3846229.937299997, -10834849.6701 3846227.4899, -10834849.2291 3846214.106399998, -10834869.2493 3846213.400799997, -10834869.107 3846218.079800002))"
5,Gable,Good,"POLYGON ((-10834867.4876 3846248.954300001, -10834854.6817 3846248.636799999, -10834855.2903 3846233.211499996, -10834869.4455 3846233.449600004, -10834869.2074 3846242.154399998, -10834867.1701 3846242.1809, -10834867.4876 3846248.954300001))"
6,Gable,Good,"POLYGON ((-10834828.9862 3846246.601800002, -10834830.2386 3846248.921300001, -10834830.8471 3846249.159500003, -10834830.6619 3846249.715099998, -10834830.5825 3846250.614699997, -10834827.8309 3846252.652000003, -10834827.4604 3846256.409100004, -10834810.5006 3846254.398199998, -10834811.1092 3846246.751699999, -10834810.6065 3846246.751699999, -10834810.58 3846245.243600003, -10834808.7808 3846245.217200004, -10834809.1512 3846238.920100003, -10834829.2861 3846240.9309, -10834828.9862 3846246.601800002))"
7,Gable,Good,"POLYGON ((-10834817.3287 3846223.4472, -10834819.7364 3846227.548199996, -10834806.4543 3846235.194700003, -10834802.2297 3846227.477700002, -10834803.6761 3846226.9309, -10834800.2718 3846221.004199997, -10834811.402 3846214.8741, -10834814.2948 3846217.908, -10834817.9637 3846219.248499997, -10834817.3287 3846223.4472))"
8,Gable,Good,"POLYGON ((-10834675.1639 3846220.823100001, -10834670.0575 3846235.586900003, -10834655.5583 3846230.744999997, -10834662.5698 3846210.345600002, -10834670.4808 3846213.3618, -10834669.5812 3846216.933700003, -10834673.4706 3846218.336000003, -10834672.9944 3846220.055799998, -10834675.1639 3846220.823100001))"
9,Gable,Good,"POLYGON ((-10834590.8658 3846417.8605, -10834590.0192 3846421.600000001, -10834585.9975 3846420.541599996, -10834587.1969 3846416.4494, -10834590.8658 3846417.8605))"
